id,언론사,성향,정도
18,이데일리,중도,5
88,매일신문,중도,5
214,MBC,중도,5
15,한국경제,보수,8
52,YTN,중도,5
8,머니투데이,중도,5
32,경향신문,진보,3
366,조선비즈,보수,8
5,국민일보,보수,7
23,조선일보,보수,9
81,서울신문,중도,5
25,중앙일보,보수,8
87,강원일보,중도,5
469,한국일보,중도,5
6,미디어오늘,진보,2
421,뉴스1,중도,5
1,연합뉴스,중도,5
422,연합뉴스TV,중도,5
437,JTBC,중도,5
11,서울경제,보수,8
57,MBN,보수,7
55,SBS,중도,5
31,아이뉴스24,중도,5
21,문화일보,보수,7
119,데일리안,보수,8
53,주간조선,보수,8
296,코메디닷컴,중도,5
9,매일경제,보수,8
28,한겨레,진보,2
16,헤럴드경제,중도,5
14,파이낸셜뉴스,중도,5
56,KBS,중도,5
47,오마이뉴스,진보,2
584,동아사이언스,중도,5
79,노컷뉴스,진보,3
449,채널A,보수,8
277,아시아경제,중도,5
22,세계일보,보수,7
20,동아일보,보수,8
648,비즈워치,중도,5
629,더팩트,중도,5
346,헬스조선,보수,7
82,부산일보,중도,5
123,조세일보,중도,5
29,디지털타임스,중도,5
607,뉴스타파,진보,2
660,kbc광주방송,중도,5
3,뉴시스,중도,5
374,SBS Biz,중도,5
215,한국경제TV,보수,8
293,블로터,중도,5
586,시사저널,중도,5
30,전자신문,중도,5
448,TV조선,보수,9
138,디지털데일리,중도,5
92,지디넷코리아,중도,5
262,신동아,보수,8
44,코리아헤럴드,중도,5
127,기자협회보,중도,5
662,농민신문,중도,5
2,프레시안,진보,2
50,한경비즈니스,보수,8
666,경기일보,중도,5
654,강원도민일보,중도,5
94,월간 산,중도,5
656,대전일보,중도,5
24,매경이코노미,보수,8
658,국제신문,중도,5
308,시사IN,진보,3
640,코리아중앙데일리,보수,8
243,이코노미스트,중도,5
417,머니S,중도,5
310,여성신문,진보,3
659,전주MBC,중도,5
36,한겨레21,진보,2
661,JIBS,중도,5
33,주간경향,진보,3
7,일다,진보,3
657,대구MBC,중도,5
37,주간동아,보수,8
655,CJB청주방송,중도,5
665,더스쿠프,중도,5
353,중앙SUNDAY,보수,8
145,레이디경향,진보,3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
